Code,Name,Beta,Sharpe,Treynor,Drawdown,HHI,StdDev
143868,UTI Fixed Term Income Fund Series XXIX-IX (1109 days) - Direct Plan - Growth Option,2.16E-05,1.239028454,2266.632904,-0.013465589,0.002572237,0.002490862
149881,UTI BSE Housing Index Fund - Regular Plan - Growth Option,0.001925906,1.601401494,827.663023,-0.212221484,0.003900493,0.062702969
146043,Nippon India Fixed Horizon Fund XXXX - Series 11 - Growth Option,4.27E-05,0.518257858,633.8993537,-0.038614313,0.001680664,0.003292783
149880,UTI BSE Low Volatility Index Fund - Direct Plan  - Growth Option,0.002944301,1.583746392,527.0534717,-0.209496474,0.003895326,0.061723571
149439,ICICI Prudential Passive Multi-Asset Fund of Funds - Growth,0.001974727,1.150735418,377.4278079,-0.132430505,0.003769637,0.04080048
148797,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Regular Plan - Growth,0.000846583,0.816762012,285.4672188,-0.065379966,0.002850243,0.018639309
146596,Nippon India Fixed Horizon Fund XXXX - Series 17 - Growth Option,0.000141998,0.689332338,256.7388479,-0.040069334,0.001650286,0.00333153
151040,HSBC Infrastructure Fund - Direct Growth,0.01120956,1.281016861,198.0343738,-0.309295028,0.005400032,0.109162636
146044,Nippon India Fixed Horizon Fund XXXX - Series 12 - Direct Plan - Growth Option,0.000121072,0.398205358,171.8807993,-0.039716697,0.001679698,0.003292029
139963,Nippon India Fixed Horizon Fund XXXI- Series 15- Direct Plan-Growth Option,-9.49E-05,-0.937257935,171.1962959,-0.011961759,0.005953455,0.001091777
146595,Nippon India Fixed Horizon Fund XXXX - Series 19 - Direct Plan - Growth Option,0.000222656,0.570928901,135.5908544,-0.041150511,0.001649162,0.00333106
149441,ICICI Prudential Passive Multi-Asset Fund of Funds - Direct Plan - Growth,0.005773266,1.172376207,134.8610215,-0.134856696,0.003773052,0.041835094
148685,PGIM India Retirement Fund - Regular Plan - Growth Option,0.00932623,1.145313744,127.1179372,-0.234155822,0.002824684,0.065206096
151037,HSBC Infrastructure Fund - Regular Growth,0.016613961,1.244273506,127.0479126,-0.302709417,0.005385513,0.106862319
139964,Nippon India Fixed Horizon Fund XXXI- Series 13- Growth Option,-0.000122118,-0.8557726,121.3202251,-0.011932759,0.005953492,0.001090571
144571,UTI Fixed Term Income Fund Series XXIX-XV (1124 days) - Regular Plan - Growth Option,0.000507047,1.338165013,95.52612935,-0.015393535,0.002390504,0.002280133
152039,Kotak BSE Housing Index Fund - Direct Plan - Growth Option,0.017488944,1.286338474,88.01506857,-0.225671642,0.008185434,0.075381553
144574,UTI Fixed Term Income Fund Series XXX-I (1104 days) - Direct Plan - Growth Option,0.000559945,1.243400169,80.33840528,-0.015540619,0.002390016,0.002279067
149085,Canara Robeco Value Fund - Direct Plan - Growth Option,0.016113362,1.015007865,73.07158727,-0.237876802,0.0033638,0.07307436
152090,Motilal Oswal Developed Market Ex US ETFs Fund of Funds Direct Plan Growth,0.017088709,1.571580727,66.59068038,-0.117554846,0.008576914,0.045612695
145339,UTI - Fixed Term Income Fund Series XXX-IV (1125 Days) - Regular Plan - Growth Option,0.000399572,0.475167194,61.55462396,-0.036975386,0.001755128,0.003260684
141049,Kotak FMP Series 202-Direct Plan-Growth Option,-0.000309267,-6.47779441,58.81624481,-0.000588303,0.00980426,0.00017689
149019,PGIM India Small Cap Fund - Direct Plan- Growth Option,0.018807778,0.832168023,52.59963637,-0.241877256,0.003160618,0.074887432
152038,Kotak  BSE Housing Index Fund - Regular Plan - Growth Option,0.029978917,1.265242651,49.7971524,-0.223060489,0.00818178,0.074326957
143598,JM Money Market Fund - Growth,-0.000632368,-16.17982664,46.3026823,-0.00013663,0.005076556,0.000113999
141047,Kotak FMP Series 200-Regular Plan-Growth Option,-0.00032541,-5.237553417,46.2370305,-0.000542212,0.009804303,0.000180964
145334,UTI - Fixed Term Income Fund Series XXX-IX (1266 Days) - Direct Plan - Growth Option,0.000464349,0.404574174,45.08486638,-0.037589864,0.001754627,0.003259693
148634,Axis Innovation Fund - Direct Plan - Growth Option,0.038957362,1.284343549,44.68746098,-0.270655271,0.002691772,0.085387391
144736,UTI Fixed Term Income Fund Series XXX-II (1107 days) - Regular Plan - Growth Option,0.00100914,1.259502446,43.93211244,-0.015699618,0.002313574,0.00221735
143597,JM Money Market Fund (Direct) - Growth,-0.000692916,-14.56291383,39.28504835,-0.000120377,0.005076601,0.00011775
144733,UTI Fixed Term Income Fund Series XXX-III (1106 days) - Direct Plan - Growth Option,0.001057891,1.162005137,38.65447492,-0.015857304,0.002313084,0.00221683
149715,Sundaram Balanced Advantage Fund (Formerly Known as Principal Balanced Advantage Fund) - Growth Option,0.012613096,0.710908318,37.33789831,-0.145714858,0.00354396,0.041730894
152091,Motilal Oswal Developed Market Ex US ETFs Fund of Funds Regular Plan Growth,0.030299486,1.565167434,36.79579559,-0.115233258,0.00857572,0.044871685
141850,UTI FTIF Series XXVII-IX (1160 Days) - Direct Plan - Growth Option,-0.001015345,-1.140832572,31.09681988,-0.025148098,0.004238237,0.001743441
141206,HSBC Fixed Term Series 128 - Direct Plan Growth Option,-0.000517079,-6.476567498,30.00182382,-0.000263307,0.010753035,0.00015089
148657,PGIM India Balanced Advantage Fund - Regular Plan - Growth Option,0.019802186,0.829066258,28.07219914,-0.143880208,0.002722443,0.042237681
142457,Nippon India Fixed Horizon Fund XXXV- Series 9- Growth Option,0.001289854,1.171930264,27.9082782,-0.02458248,0.002051424,0.001934958
142458,Nippon India Fixed Horizon Fund XXXVI- Series 2- Direct Plan-Growth Option,0.001290145,1.172034854,27.90407466,-0.024575346,0.002051424,0.001934931
149329,Nippon India Taiwan Equity Fund- Direct Plan- Growth Option,0.121194536,1.477763732,27.52302241,-0.395315778,0.003939722,0.142191583
109466,UTI F I I F Series II -Quarterly Interval Plan - IV -Direct Plan - Growth Option,-0.001233248,-19.45951666,26.12946296,-0.000119555,0.006666919,0.000104315
141843,UTI FTIF Series XXVI-VIII (1154 Days)- Regular Plan - Growth Option,-0.001099944,-0.992196402,24.97321673,-0.025130899,0.004238345,0.001744002
148695,SBI Retirement Benefit Fund - Aggressive Hybrid Plan - Direct Plan - Growth,0.049520124,1.113447009,22.32764428,-0.227831192,0.002812117,0.06255396
149449,Samco Flexi Cap Fund - Regular Plan - Growth Option,0.016204759,0.393214839,21.79259486,-0.203222919,0.003727647,0.056574581
149088,Canara Robeco Value Fund - Regular Plan - Growth Option,0.052132287,0.992108881,21.06440801,-0.227210884,0.003342268,0.069726269
141204,HSBC Fixed Term Series 126 - Growth Option,-0.000574648,-4.674769082,20.22836023,-0.000252517,0.010753087,0.00015664
149383,Axis Multicap Fund - Direct Growth,0.075053065,1.115481978,19.75949574,-0.285936689,0.003719124,0.083749353
149328,Nippon India Taiwan Equity fund- Regular Plan- Growth Option,0.186591892,1.469515072,17.95079476,-0.403097884,0.0039267,0.143582707
148962,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund-Direct Growth,0.064582886,1.072574363,17.49050202,-0.232297831,0.00309636,0.066342532
148683,SBI Retirement Benefit Fund - Aggressive Hybrid Plan - Regular Plan - Growth,0.087994364,1.256476035,16.87389852,-0.267200413,0.002852493,0.074441619
148631,Axis Innovation Fund - Regular Plan - Growth Option,0.10013738,1.262716824,16.71265138,-0.261371841,0.002678335,0.083490169
150595,Mirae Asset Global Electric & Autonomous Vehicles ETFs Fund of Fund- Direct Plan - Growth,0.061088151,0.888202108,16.18796269,-0.254422248,0.004646254,0.070135372
