,Code,Scheme Name,Performance Index,Risk_Category,3_Year_CAGR,5_Year_CAGR
2540,147559,SBI Fixed Maturity Plan (FMP) - Series 14 (384 Days) - Direct Plan - Growth,0.9931291147412263,5,2.7331350492040274,4.258397415387938
2389,147560,SBI Fixed Maturity Plan (FMP) - Series 11 (1178 Days) - Regular Plan - Growth,0.9931267395842831,5,2.8678859494777775,4.444510933730617
435,113142,Navi Conservative Hybrid Fund-Growth,0.993048137084889,5,5.5015609136100485,5.433857137012144
410,119156,Navi Conservative Hybrid Fund-Direct Plan-Growth Option,0.9930251632155873,5,7.158587757973756,7.1601829272632145
3066,146173,SBI Debt Fund Series C - 38 (389 Days) - Direct Plan - Growth,0.9930040280578292,5,2.515906277012281,3.9971257289789897
2970,146174,SBI Debt Fund Series C - 35 (376 Days) - Regular Plan - Growth,0.993002272025353,5,2.634714768347224,4.173220664548083
2714,146655,SBI Debt Fund Series C - 48 (385 Days) - Direct Plan - Growth,0.9929705983668584,5,2.490619528113469,4.2559321969419805
2575,146656,SBI Debt Fund Series C - 46 (376 Days) - Regular Plan - Growth,0.992968534828937,5,2.613613984507568,4.4351849873286
1593,100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,0.9929518807974264,5,4.462097459657177,4.672228801121103
2883,146369,SBI Debt Fund Series C - 43 (384 Days) - Direct Plan - Growth,0.9928678873664973,5,2.3175356910963174,4.002663452850963
2731,146367,SBI Debt Fund Series C - 41 (1178 Days) - Regular Plan - Growth,0.9928655941592144,5,2.4314930416936775,4.176124116472768
2628,146493,SBI Debt Fund Series C - 44 (378 Days) - Direct Plan - Growth,0.9928449992503963,5,2.325430912253701,4.094712338429574
2418,146495,SBI Debt Fund Series C - 43 (384 Days) - Regular Plan - Growth,0.9928428582425255,5,2.4368980608205026,4.266728789342489
438,147643,SBI Capital Protection Oriented Fund - Series A (Plan 6) - Direct Plan - Growth,0.9927554638825736,5,1.8530602372198057,4.489258765727899
429,147644,SBI Capital Protection Oriented Fund - Series A (Plan 5) - Regular Plan - Growth,0.9927450927238736,5,2.065384733665021,4.871798413442785
436,147632,SBI Capital Protection Oriented Fund - Series A (Plan 5) - Direct Plan - Growth,0.992652741131018,5,1.600404375165887,4.423090068577018
